Site,Date,Block,Treatment,Time,Weather,Video,Frames,nspectra,nchannels,scene_height,scene_width,scene_channels,timestamp_s,timestamp_us,frame_rate,exposure,gain,scene_exposure,scene_gain,camera_serial_id,edge_compute_serial_id,sdk_version,calibration,scene_dtype,spectra_dtype,description
Wytham,2024/06/25,A,NPK_DIST,11:18:49,Sunny / warm,Single,1,4384,96,2048,2432,3,2825,672444,2000000,2000,0,2000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,NPK_DIST,11:18:53,Sunny / warm,Video,32,4384,96,2048,2432,3,2830,172891,2000000,2000,0,2000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,NPK_DIST,11:19:24,Sunny / warm,Single,1,4384,96,2048,2432,3,2860,175875,2000000,5000,0,5000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,NPK_DIST,11:19:27,Sunny / warm,Video,28,4384,96,2048,2432,3,2864,176273,2000000,5000,0,5000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,NPK_DIST,11:19:52,Sunny / warm,Single,1,4384,96,2048,2432,3,2888,678709,2000000,8000,0,8000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,NPK_DIST,11:19:54,Sunny / warm,Video,24,4384,96,2048,2432,3,2891,178957,2000000,8000,0,8000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,NPK_DIST,11:20:20,Sunny / warm,Single,1,4384,96,2048,2432,3,2916,681492,2000000,10000,0,10000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,NPK_DIST,11:20:24,Sunny / warm,Single,1,4384,96,2048,2432,3,2920,181840,2000000,10000,0,10000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,NPK_DIST,11:20:35,Sunny / warm,Video,35,4384,96,2048,2432,3,2932,183033,2000000,10000,0,10000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,NPK_DIST,11:23:27,Sunny / warm,Single,1,4384,96,2048,2432,3,3103,200009,2000000,2000,0,2000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,NPK_DIST,11:23:33,Sunny / warm,Video,29,4384,96,2048,2432,3,3109,700653,2000000,2000,0,2000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,NPK_DIST,11:24:04,Sunny / warm,Single,1,4384,96,2048,2432,3,3140,703723,2000000,5000,0,5000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,NPK_DIST,11:24:08,Sunny / warm,Video,31,4384,96,2048,2432,3,3145,204168,2000000,5000,0,5000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,NPK_DIST,11:24:35,Sunny / warm,Single,1,4384,96,2048,2432,3,3171,206739,2000000,8000,0,8000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
Wytham,2024/06/25,A,NPK_DIST,11:24:37,Sunny / warm,Video,23,4384,96,2048,2432,3,3173,706985,2000000,8000,0,8000,0,0,-511167884,1.4.3,b'cal-85-56-1001231129-20240501-152449-000000',b'uint8',b'float32',
